Origin,Dest,Distance
HOU,HRL,277
EWR,RIC,277
EGE,SLC,279
XNA,DFW,280
DFW,XNA,280
PHL,BOS,280
BOS,PHL,280
BUF,BWI,281
BWI,BUF,281
CRW,DTW,281
DTW,CRW,281
OMA,MSP,282
MSP,OMA,282
DFW,LBB,282
LBB,DFW,282
BUF,EWR,282
EWR,BUF,282
MDW,CMH,283
CMH,MDW,283
IAD,BUF,283
BWI,BDL,283
BDL,BWI,283
BUF,IAD,283
DTW,CIU,284
CIU,DTW,284
EWR,ORF,284
MSP,GFK,284
EWR,PWM,284
ORF,EWR,284
GFK,MSP,284
PWM,EWR,284
AEX,DFW,285
DFW,AEX,285
SDF,ORD,286.7970479704797
ORD,SDF,286.8022598870057
DTW,GRB,287
GRB,DTW,287
BOI,GEG,287
GEG,BOI,287
ANC,AKN,288
CLE,IAD,288
IAD,ROC,288
AKN,ANC,288
IAD,CLE,288
ROC,IAD,288
BWI,ALB,289
ALB,BWI,289
JFK,ORF,290
ORF,JFK,290
SLC,BOI,290
ORF,CLT,290
CLT,ORF,290
BOI,SLC,290
RAP,JMS,291
RIC,LGA,292
LGA,BUF,292
BUF,LGA,292
LGA,RIC,292
MLU,DFW,293
DFW,MLU,293
LBB,DAL,293
DAL,LBB,293
MIA,GNV,294
GNV,MIA,294
HRL,IAH,295
LCH,DFW,295
IAH,HRL,295
DFW,LCH,295
LGA,ORF,296
DTW,ATW,296
ORD,CMH,296
ROC,DTW,296
DAL,LIT,296
DTW,LEX,296
BUR,SJC,296
SJC,BUR,296
CMH,ORD,296
IAD,SYR,296
SYR,IAD,296
LEX,DTW,296
ORF,LGA,296
LIT,DAL,296
DTW,ROC,296
ATW,DTW,296
MSP,MKE,297
MKE,MSP,297
DCA,SYR,298
HYS,DEN,298
SYR,DCA,298
SLC,COD,298
DEN,HYS,298
COD,SLC,298
IAD,CMH,299
ORD,DSM,299
CMH,IAD,299
DSM,ORD,299
DEN,RAP,300
GNV,ATL,300
ATL,GNV,300
RAP,DEN,300
SCE,DTW,301
LRD,IAH,301
IAH,LRD,301
BUF,JFK,301
DTW,SCE,301
JFK,BUF,301
MOB,ATL,302
HOU,MSY,302
ATL,MOB,302
MSY,HOU,302
ORD,MQT,303
DEN,SAF,303
MQT,ORD,303
SAF,DEN,303
DFW,LIT,304
LEX,ATL,304
LIT,DFW,304
SFO,CEC,304
ATL,LEX,304
CEC,SFO,304
SAN,PHX,304
PHX,SAN,304
LGA,CHO,305
MSY,IAH,305
IAH,MSY,305
CHO,LGA,305
ATL,GSO,306
SDF,DTW,306
DTW,ESC,306
DTW,SDF,306
DSM,MDW,306
ESC,DTW,306
MDW,DSM,306
GSO,ATL,306
MDW,CLE,307
CLE,MDW,307
BRO,IAH,308
CVG,STL,308
IAH,BRO,308
SJC,LAX,308
LAX,SJC,308
STL,CVG,308
MAF,DFW,309
DFW,MAF,309
DCA,CLE,310
CLE,DCA,310
MSN,DTW,311
DTW,MSN,311
DFW,AMA,312
AMA,DFW,312
BMI,DTW,313
DEN,GCC,313
DCA,BDL,313
DTW,BMI,313
BDL,DCA,313
GCC,DEN,313
FAT,SAN,314
CLE,BWI,314
SAN,FAT,314
BWI,CLE,314
COU,ORD,315
ORD,COU,315
CLE,ORD,315.25485436893206
ORD,CLE,315.2585966542751
MFE,IAH,316
IAH,MFE,316
MKE,STL,317
MYR,ATL,317
STL,MKE,317
ATL,MYR,317
MKE,CVG,318
CVG,MKE,318
PIT,EWR,319
EWR,PIT,319
DAL,MAF,319
MAF,DAL,319
FLL,JAX,319
JAX,FLL,319
SLC,CPR,320
CPR,SLC,320
SDF,ATL,321
ATL,SDF,321
CLT,IAD,322
IAD,CLT,322
AMA,DAL,323
CMH,DCA,323
DCA,CMH,323
LEX,ORD,323
DAL,AMA,323
ORD,LEX,323
ALB,IAD,325
OAK,BUR,325
ONT,PHX,325
PHX,ONT,325
IAD,ALB,325
BUR,OAK,325
SFO,BUR,326
IAD,BDL,326
BDL,IAD,326
RIC,CAE,326
BUR,SFO,326
PVD,BWI,327
BWI,PVD,327
DFW,JLN,327
JLN,DFW,327
ICT,DFW,328
BNA,CLT,328
PHX,ABQ,328
JAX,CLT,328
CLT,BNA,328
DFW,ICT,328
CLE,MKE,328
ABQ,PHX,328
CLT,JAX,328
GSP,RIC,328
MKE,CLE,328
